tp,fp,fn,tn,n,precision,recall,specificity,f1,mcc,cohen_kappa,classifier,label,classifier_kind
24650774,9244245,0,1780057,35675076.0,0.7272683340286665,1.0,0.16146663979270523,0.8421023180948287,0.3426799879234963,0.21017803151556047,attr_accepted,is_assigned,narrow
24650774,3109457,0,7914845,35675076.0,0.887988792312283,1.0,0.717945226827059,0.9406716776371681,0.7984530762145814,0.7786463274342702,broad_eligible,is_assigned,broad
0,-6134788,0,6134788,,0.16072045828361647,0.0,0.5564785870343537,0.09856935954233936,0.4557730882910851,0.5684682959187097,broad_minus_narrow,is_assigned,delta
