bit,n_fired_on_rejected,n_with_finite_mahal,mahal_median_rejected,fraction_inside_envelope,tp_inside_rate_reference,fp_inside_rate_reference,lift_vs_tp_reference
attr_folded_start,14081,14081,2.7209321635759003,0.7285704140330942,0.8919813633438042,0.6721793937741806,0.8168000408684267
attr_in_structure,990032,990032,2.836999985467818,0.617744678959872,0.8919813633438042,0.6721793937741806,0.6925533473525828
attr_excl_width_sp,1780057,1780057,2.943366937609156,0.5389074619520611,0.8919813633438042,0.6721793937741806,0.6041689704500532
attr_excl_amp_high,0,0,,,0.8919813633438042,0.6721793937741806,
attr_excl_width_remap,0,0,,,0.8919813633438042,0.6721793937741806,
attr_folded_end,0,0,,,0.8919813633438042,0.6721793937741806,
attr_excl_outside_partial,0,0,,,0.8919813633438042,0.6721793937741806,
