nn_bucket,n,signed_median_bp,abs_median_bp,abs_p90_bp
0-500,1199550,36.843150414286356,539.2169545920333,5778.959433064592
500-1k,1645573,-1.6571514164097607,511.6879032580182,5872.462555808388
1k-2k,4179464,-30.93834281153977,502.4707757199649,5570.567503192745
2k-5k,7255489,-25.35696277813986,517.8658923672047,5528.019720966369
5k-10k,5963662,4.396677074488252,524.7672583218664,5736.5976566139625
10k-20k,3871254,61.45285885129124,586.2751546039362,6897.836461152326
20k+,535778,136.45573799998965,731.9903606856242,10063.103336399396
