bit,n_set,n_clear,signed_median_residual_bp_set,signed_median_residual_bp_clear,abs_median_residual_bp_set,abs_median_residual_bp_clear,abs_ratio_set_over_clear
attr_in_structure,2546142,22104628,-8.470651335053844,0.7765661091834772,4627.394836890977,452.44601634144783,10.227507083184962
attr_folded_start,73077,24577693,-33.37689874577336,0.6929476594086736,5223.028726466466,529.2649286258966,9.868458014073873
attr_clean_region,22095602,2555168,0.7761995476612356,-8.401789378374815,452.19652014016174,4620.689105552854,0.09786343764109565
attr_accepted,24650770,0,0.6844583372585475,,531.7339222896262,,
